,,,,,,,,,,,,
Theme,Subtheme,Set #,Set Name,Age,Piece Count,Retirement Date,LEGO.com Link,,,,,"Notes: (Exclusivity, release, etc.)"
Botanicals,Botanical Collection,11509,Flowering Cactus,9+,482,"Dec 31, 2028",US,CA,UK,AU,MX,
BrickHeadz,Star Wars,40547,Obi-Wan Kenobi & Darth Vader,10+,260,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Marvel,40668,Captain America & Red Hulk,10+,202,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Marvel,40669,Iron Man MK5,10+,101,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Marvel,40670,Iron Spider-Man,10+,91,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Marvel,40671,Potted Groot,10+,113,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Star Wars,40675,Clone Commander Cody,10+,147,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Batman,40748,Batman 8in1,10+,325,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Wednesday,40750,Wednesday & Enid,10+,239,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40792,Dumbo,10+,176,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,-,40793,Tom & Jerry,10+,212,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Wicked,40794,Elphaba & Glinda,10+,325,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Star Wars,40796,Revenge of the Sith Heroes & Villains,,,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40798,Red Panda Mei,10+,121,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,One Piece,40799,Monkey D. Luffy,10+,136,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,One Piece,40800,Buggy the Clown,10+,176,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40619,EVE & WALL-E,10+,155,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40674,Stitch,10+,152,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40749,"Joy, Sadness & Anxiety",10+,300,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40752,"Carl, Russell, & Kevin ",10+,308,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Harry Potter,40791,The Goblet of Fire Figures,10+,671,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Star Wars,40795,Luke Skywalker (Rebel Pilot),,,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Disney,40797,Eeyore,10+,156,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Stranger Things,40801,"Mike, Dustin, Lucas and Will",10+,542,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Harry Potter,40802,Luna Lovegood & Thestral Figures,10+,292,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Transformers,40803,Optimus Prime Robot & Vehicle,,,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Transformers,40804,Bumblebee Robot & Vehicle,,,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
BrickHeadz,Fortnite,40884,Drift & Raven Figures,10+,280,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
City,Jungle,30665,Baby Gorilla Encounter Polybag,5+,34,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,30693,Police Water Scooter (Polybag),5,29,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Space,30694,Space Science Mech (Polybag),,49,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60198,Cargo Train,6-12,1226,"Dec 31, 2025",US,CA,UK,AU,MX,"Available in some regions, retired in others."
City,- ,60369,Mobile Police Dog Training,5+,197,"Dec 31, 2025",US,CA,UK,AU,MX,
City,- ,60374,Fire Command Truck,7+,502,"Dec 31, 2025",US,CA,UK,AU,MX,
City,- ,60391,Construction Trucks and Wrecking Ball Crane,4+,235,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60401,Construction Steamroller,5+,78,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60406,Race Car and Car Carrier Truck,6+,328,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60408,Car Transporter Truck with Sports Cars,7+,998,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60409,Yellow Mobile Construction Crane,9+,1116,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60412,4x4 Fire Engine with Rescue Boat,5+,301,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60413,Fire Rescue Plane,6+,478,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60418,Police Mobile Crime Lab Truck,7+,674,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60420,Yellow Construction Excavator,8+,633,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60421,Robot World Roller-Coaster Park,8+,986,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60422,Seaside Harbor With Cargo Ship,8+,1226,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Jungle,60426,Jungle Explorer Off-Road Truck,6+,314,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Space,60429,Spaceship and Asteroid Discovery (4+),4+,126,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Space,60431,Space Explorer Rover and Alien Life,6+,311,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Space,60433,Modular Space Station,7+,1097,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Space,60434,Space Base and Rocket Launchpad,8+,1422,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60435,Tow Truck (4+),4+,101,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Jungle,60437,Jungle Explorer Helicopter at Base Camp,8+,881,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Space,60439,Space Science Lab,6+,560,"Dec 31, 2025",US,CA,UK,AU,MX,(US) Exclusive to Target | (DE) Müller
City,Formula 1,60444,F1 Garage & Mercedes-AMG & Alpine Cars,7+,678,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Space,60446,Modular Galactic Spaceship,7+,717,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60448,Sports Car,5+,109,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60449,Off-Road Police Car Chase,6+,467,"Dec 31, 2025",US,CA,UK,AU,MX,(US) Exclusive to Kohls
City,-,60450,Wheel Loader,4+,81,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60453,Lifeguard Truck,6+,214,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60458,Pizza Vs. Fire Truck,5+,70,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60459,Aeroplane Vs. Hospital Bed,5+,70,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60460,No Limits: Race Car Ramp Track,6+,436,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60461,Red Farm Tractor,4+,116,"Dec 31, 2025",US,CA,UK,AU,MX,
City,-,60472,Scrapyard,7+,871,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Formula 1,60474,F1 Grid with VCARB & Sauber Race Cars,6+,313,"Dec 31, 2025",US,CA,UK,AU,MX,(US) Exclusive to Target
City,Holiday,60475,LEGO City Advent Calendar 2025,5+,186,"Dec 31, 2025",US,CA,UK,AU,MX,
City,Multipack,66803,Built For Speed Gift Set,5+,348,"Dec 31, 2025",US,CA,UK,AU,MX,(Contains TBA)
City,- ,60368,Arctic Explorer Ship,7+,815,"Jul 31, 2026",US,CA,UK,AU,MX,
City,-,60440,Yellow Delivery Truck,8+,1061,"Jul 31, 2026",US,CA,UK,AU,MX,(NA) Exclusive to Costco
City,-,60452,Donut Truck,5+,196,"Jul 31, 2026",US,CA,UK,AU,MX,
City,-,60462,"Helicopter, Fire Engine & Submarine Remix",7+,874,"Jul 31, 2026",US,CA,UK,AU,MX,
City,-,60467,Tow Truck,,,"Jul 31, 2026",US,CA,UK,AU,MX,
City,All,60473,The City Tower,8+,1941,"Jul 31, 2026",US,CA,UK,AU,MX,
City,- ,60312,Police Car,5+,94,"Dec 31, 2026",US,CA,UK,AU,MX,
City,- ,60316,Police Station,6+,668,"Dec 31, 2026",US,CA,UK,AU,MX,
City,- ,60337,Express Passenger Train,7+,764,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60400,Go-Karts and Race Drivers,5+,99,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60402,Monster Truck,5+,148,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60404,Burger Van,5+,194,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60407,Red Double-Decker Sightseeing Bus,7+,384,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60419,Police Prison Island,7+,980,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60423,Downtown Streetcat & Station,7+,811,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Space,60430,Interstellar Spaceship,6+,240,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Formula 1,60445,F1 Truck with RB20 & AMR24 F1 Cars,8+,1086,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60447,Off-Road Mountain Truck,6+,221,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60457,Custom Police Garage,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60463,Fire Engine ,4+,82,"Dec 31, 2026",US,CA,UK,AU,MX,
City,Formula 1,60464,F1 Williams Racing & Haas F1 Race Cars,4+,92,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60465,Air Ambulance,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60466,Bulldozer,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60469,Central Train Station,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60470,Explorer Train,7+,1517,"Dec 31, 2026",US,CA,UK,AU,MX,
City,-,60471,Arctic Truck,,,"Dec 31, 2026",US,CA,UK,AU,MX,
City,- ,60205,Tracks,5+,20,"Dec 31, 2027",US,CA,UK,AU,MX,
City,- ,60238,Switch Tracks,5+,8,"Dec 31, 2027",US,CA,UK,AU,MX,
City,- ,60304,Road Plates,5+,112,"Dec 31, 2027",US,CA,UK,AU,MX,
City,- ,60367,Passenger Airplane,7+,913,"Dec 31, 2027",US,CA,UK,AU,MX,
City,- ,60373,Fire Rescue Boat,5+,144,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60411,Fire Rescue Helicopter,5+,85,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60414,Fire Station with Fire Engine,6+,843,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60415,Police Car and Muscle Car Chase,6+,213,"Dec 31, 2027",US,CA,UK,AU,MX,
City,Formula 1,60442,F1 Driver with McLaren Race Car,6+,86,"Dec 31, 2027",US,CA,UK,AU,MX,
City,Formula 1,60443,F1 Pit Stop & Pit Crew with Ferrari Car,6+,322,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60451,Emergency Ambulance,5+,184,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60454,Holiday Camper Van,6+,385,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60455,Police Motorcycle Chase,4+,65,"Dec 31, 2027",US,CA,UK,AU,MX,
City,-,60456,Police Boat,6+,264,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,-,11034,Creative Pets,5+,450,"Dec 31, 2025",US,CA,UK,AU,MX,
Classic,-,11037,Creative Space Planets,5+,450,"Dec 31, 2025",US,CA,UK,AU,MX,
Classic,-,11038,Vibrant Creative Brick Box,4+,850,"Dec 31, 2025",US,CA,UK,AU,MX,"(US, CA, ES, NL, UK) Exclusive to Amazon | (DE) Smyths"
Classic,-,11042,Creative Happy Box,5+,680,"Dec 31, 2025",US,CA,UK,AU,MX,
Classic,- ,11025,Blue Baseplate,4+,1,"Jul 31, 2026",US,CA,UK,AU,MX,
Classic,-,11043,Cool Creative Box,5+,510,"Jul 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Classic,-,11044,Creative Build-and-Play Box,5+,750,"Jul 31, 2026",US,CA,UK,AU,MX,
Classic,-,11040,Magical Transparent Box,5+,340,"Dec 31, 2026",US,CA,UK,AU,MX,
Classic,-,11036,Creative Vehicles,5+,900,"Jul 31, 2027",US,CA,UK,AU,MX,
Classic,- ,10713,Creative Suitcase,4-99,213,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,- ,11023,Green Baseplate,4+,1,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,- ,11024,Gray Baseplate,4+,1,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,- ,11026,White Baseplate,4+,1,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,-,11039,Creative Food Friends,4+,150,"Dec 31, 2027",US,CA,UK,AU,MX,
Classic,-,11041,Creative Dinosaurs,5+,450,"Dec 31, 2028",US,CA,UK,AU,MX,
Creator,Holiday,30670,Santa's Sleigh Ride Polybag,6+,73,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,30688,Tropical Toucan (Polybag),6+,59,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,Seasonal,30689,Birthday Party Animals (Polybag),6+,60,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,-,30690,Easter Egg Chick Painting Fun (Polybag),6+,65,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,30691,Mini Monster Truck (Polybag),,55,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,31058,Mighty Dinosaurs,,174,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,31109,Pirate Ship,9+,1264,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,31129,Majestic Tiger,9+,755,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,31137,Adorable Dogs,7+,475,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,31142,Space Roller Coaster,9+,874,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,31153,Modern House,9+,939,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,31154,Forest Animals: Red Fox,9+,667,"Dec 31, 2025",US,CA,UK,AU,MX,"(US, CA, ES, NL, UK) Exclusive to Amazon"
Creator,3-in-1,31155,Hamster Wheel,8+,416,"Dec 31, 2025",US,CA,UK,AU,MX,"(US, CA) Exclusive to Walmart | (DE) Müller | (UK) Asda"
Creator,3-in-1,31156,Tropical Ukelele,8+,387,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,3-in-1,31158,Sea Animals,8+,421,"Dec 31, 2025",US,CA,UK,AU,MX,"(US, CA) Exclusive to Walmart | (DE) Müller | (UK) Morrisons"
Creator,- ,40220,London Bus,7+,118,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,- ,40517,Vespa,9+,118,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,- ,40650,Land Rover Classic Defender,8+,150,"Dec 31, 2025",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Botanical Collection,40747,Daffodils,8+,216,"Dec 31, 2025",US,CA,UK,AU,MX,
Creator,Multipack,66801,Springtime Animal Play Pack,,,"Dec 31, 2025",US,CA,UK,AU,MX,"(Contains 30690, 40709, 31140)"
Creator,Multipack,66810,Animal Lover's Gift Set,8+,733,"Dec 31, 2025",US,CA,UK,AU,MX,(Contains 31162 + 31163)
Creator,3-in-1,31145,Red Dragon,6+,149,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31149,Flowers in Watering Can,8+,420,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31150,Wild Safari Animals,9+,780,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31151,T. Rex,9+,626,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31152,Space Astronaut,9+,647,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31157,Exotic Peacock,7+,355,"Jul 31, 2026",US,CA,UK,AU,MX,"(US, CA) Exclusive to Walmart | (DE) Müller | (UK) Asda"
Creator,3-in-1,31160,Racing Aircraft,7+,178,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31162,Bunny,8+,326,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,"Space, 3-in-1",31164,Space Robots,8+,281,"Jul 31, 2026",US,CA,UK,AU,MX,
Creator,Botanical Collection,40647,Lotus Flowers,8+,220,"Jul 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Holiday,30692,Christmas Chimney Fun with Santa (Polybag),,,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31136,Exotic Parrot,7+,253,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31148,Retro Roller Skate,8+,342,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31169,Typewriter with Flowers,8+,363,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31171,Majestic Rhino,9+,780,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to TBA
Creator,3-in-1,31172,Record Player with Flowers,8+,366,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Creator,- ,40468,Yellow Taxi,7+,124,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,- ,40518,High-Speed Train,7+,284,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40519,New York Postcard,9+,253,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40569,London Postcard,9+,277,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Postcard,40713,Japan Postcard,9+,262,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,Botanical Collection,40725,Cherry Blossoms,8+,430,"Dec 31, 2026",US,CA,UK,AU,MX,
Creator,3-in-1,31134,Space Shuttle,6+,144,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31140,Magical Unicorn,7+,145,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31146,Flatbed Truck with Helicopter,7+,270,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31147,Retro Camera,8+,261,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31159,Wild Animals - Surprise Spider,7+,153,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31161,Green Dragon,9+,715,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31163,Grey Cat,8+,407,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31170,Wild Animals - Pink Flamingo,8+,288,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31174,Retro Telephone,8+,383,"Jul 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31166,Beautiful Horse,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31167,Haunted Mansion,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31173,Tropical Toucan,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,3-in-1,31175,Unicorn Castle,,,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,Botanical Collection,40460,Roses,8+,120,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,Botanical Collection,40524,Sunflowers,8+,191,"Dec 31, 2027",US,CA,UK,AU,MX,
Creator,Postcard,40818,Italy Postcard,,,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Creator,3-in-1,31165,Wild Animals - Panda Family,8+,626,"Dec 31, 2028",US,CA,UK,AU,MX,
Creator,3-in-1,31168,Medieval Horse Knight Castle,,,"Dec 31, 2028",US,CA,UK,AU,MX,
DC,Character Mech,76270,Batman Mech Armour,6+,140,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76271,Batman: The Animated Series Gotham City,18+,4210,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76273,Batman Construction Figure And The Bat-Pod Bike,12+,713,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76274,Batman With The Batmobile VS. Harley Quinn And Mr. Freeze,8+,435,"Dec 31, 2025",US,CA,UK,AU,MX,
DC,Batman,76301,Batman & Batmobile vs. Mr. Freeze,4+,63,"Dec 31, 2025",US,CA,UK,AU,MX,
